1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	ecavity_avg	ecavity_se	edisper_avg	edisper_se	eel_avg	eel_se	epb_avg	epb_se	vdwaals_avg	vdwaals_se	pb_tot_avg	pb_tot_se	ligname	jan-id	Kd-exp	expt-dg	expt-err	q	N	site
-13.449051319045823	5.748038140460434	-0.30384171904777	0.754756579452511	-0.5144126285715718	1.8835240102191628	-0.6322051095237295	1.2256414117930121	-2.9280422952388694	1.7897549835778357	-3.1780143809523924	0.1768734632903362	0.0	0.0	6.7898323904769375	16.919800878030614	33.676496752381226	14.69542429627049	-31.729770404761997	2.5076943899342434	-12.269008714286542	4.359754329940468	l1	LDHA12	0.0007700000000000001	-4.24589	0.1	0	15	Adenine
-6.009726519050073	5.8583377236426175	0.25971768095218284	0.7688950824831163	1.5680298714285676	2.138997823017045	0.9920571904761529	1.2100708685114645	-0.7437342952385508	1.8847819052837458	-2.475158280952394	0.19676927729575727	0.0	0.0	-1.7408558095233886	14.756622050054938	27.07731875238107	12.132108552232785	-26.858644004761953	2.6013362528225	-7.9309954142876276	4.712481480116288	l2	LDHA14	0.0042	-3.24117	0.1	0	12	Adenine
-12.659950719048028	5.567880969040876	-1.017319119047886	0.7380805963414837	-1.7952574285715122	1.9530410059345047	-0.20816000952392066	1.2692564663287214	-2.148708595237867	1.6360565967728042	-3.194469080952372	0.18872535607033256	0.0	0.0	-0.4609195095299867	15.906786553389173	35.36269855238055	13.140889403172412	-31.31219010476181	2.6107184325102737	-17.434276014285462	4.517994032338862	l3	LDHA15	0.00079	-4.23071	0.1	0	14	Adenine
-8.959179519046964	6.219801574939722	-1.374933719047939	0.6695728403590071	0.04257167142860041	1.9375068548670855	-0.2993957095237523	1.0813766913174792	-0.5126534952378421	1.7879470367066663	-3.840466880952396	0.21207338821627614	0.0	0.0	-137.5221143095236	17.695054005122046	171.39750285238063	16.705042320683415	-37.13205790476215	2.6161604580515783	-18.2007270142863	4.3937996568343864	l4	LDHA16	0.0005	-4.5016099999999994	0.1	0	18	Adenine
-13.413596819048498	5.4493879606605695	-0.5085904190477581	0.6843191004122423	-2.567977728571368	1.952476352082396	0.2649742904762569	1.0789444807963977	-2.5177997952383913	1.764312014893795	-4.231703980952393	0.18460375624111885	0.0	0.0	-108.94494410952572	15.062678821634046	153.69501145238115	12.842453649199815	-43.948107504761694	2.6356693185023934	-22.172734614285645	4.533007206612017	l5	LDHA17	4e-05	-5.99747	0.1	0	21	Adenine
-4.889690119048688	6.0217649451016015	0.4069089809522533	0.6969789246746151	-0.7018696285717425	2.0445004747680717	-0.6860510095238253	1.0919604453455167	-0.9487890952386078	1.7468600746143006	-3.85814118095238	0.1656891142888485	0.0	0.0	-106.98474330952585	16.722109880717912	140.4507020523816	12.90682820952813	-37.53826610476201	2.4972677336577536	-14.74993941428538	5.212390368872279	l6	LDHA18	0.00013000000000000002	-5.29942	0.1	0	21	Adenine
9.008361480956012	5.839077758448184	0.4283690809522647	0.8120611502421227	3.0319195714284937	2.3061754837708808	0.9573476904764749	1.2352639936322256	-2.6812465952386138	1.9919743621733408	-1.6000523809523741	0.1951693440756813	0.0	0.0	-350.5161437095226	17.665327983869165	322.42503775238094	15.458814099613502	-3.972440604762033	2.670022512919919	-22.918847714284965	5.473174961130352	l7	LDHA19	0.005	-3.1379099999999998	0.1	-2	7	Substrate
-1.8670659190489098	6.7497794014898975	0.8847914809523454	0.6965926602433823	-1.1001950285710151	1.9114333470675235	-0.8050673095235412	1.2220380520613192	-0.24531009523868266	1.7142660516596493	-2.6366359809523923	0.21071658947006672	0.0	0.0	-354.11516200952354	16.791304367488678	339.50501445238126	13.958213809026839	-20.748812804761688	2.541462105755246	-41.128443214284786	5.428035402690329	l8	LDHA20	0.00021	-4.8716099999999996	0.1	-2	15	Substrate
-2.626126019049252	6.514950822119736	0.71002868095227	0.7159758654655304	2.5291652714286315	1.9183416230355053	0.8786854904762196	1.2538645162073645	-1.9378448952386813	1.82311973998035	-2.730867180952388	0.19557697099469698	0.0	0.0	-372.57998640952417	16.754487693259684	344.78362505238067	14.186523907999515	-18.919751704761886	2.457557533431844	-49.89307171428504	4.908104983999767	l9	LDHA21	0.00028	-4.84501	0.1	-2	18	Substrate
-8.44381371904791	6.345968194265004	-1.1068717190478603	0.6914378146680474	0.0661739714289542	2.128675063231088	0.0449450904762152	1.1195218143228265	-1.2315988952383259	1.74039616804741	-3.5631573809523798	0.20696517747156815	0.0	0.0	-0.3817683095280131	16.267917617165	35.74772735238118	15.207514921210851	-33.999388504762045	2.7122311291550805	-12.867752114286418	4.450849577005067	l10	LDHA22	0.0007700000000000001	-4.24589	0.1	-2	19	Adenine
